Company,Job Title,Location,Actively Recruiting Indicator,LI Job Post URL
Nordstrom,Senior Android Engineer (Hybrid - Seattle OR Chicago),"Seattle, WA (Hybrid)",29 school alumni work here,https://www.linkedin.com/jobs/view/3665935178/?eBP=CwEAAAGKOZCUiWJj00i78pnGVJbGUsVSv-2rDpS5ufPIDo65QTZWXYdbJcYdK-d3s5unLxWAQfZ_xLOJP6jH2dYd5EjWdBWKbEp-il4kcqEjVpObAZO5dXyC5rBhB6qNR4ISWfe_OLYejYiE2m6FFSFXRsX_EUfucYwXbrtrPe2Ue7R1FbJ7_pYJoF7sS2LNyz29fdpNGZbLFCedmD9ug2YczJ9VzTctQhdVsTK9pGx45KbzjL0_eLA0UmIkPA2g4ioW3CEFwnslgOpBYUVPUVf-xz2ISmgRZY0i1JXNsr6FFsZkOXYHkYRT5qIUti-eduf5CyS10mSwBhOpyq_ZnWTRoKmThUs1aax4dciU9jqtrd27Hu85P8z4xC-NdKmBqlQZ_usxLw&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=3S1xcaqTPbPWCdwIpgHPxQ%3D%3D&trk=flagship3_search_srp_jobs
Accenture Federal Services,Federal - Pega Developer (Remote),"Denver, CO (Remote)",8 school alumni work here,https://www.linkedin.com/jobs/view/3544965775/?eBP=JOB_SEARCH_ORGANIC&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=SFdm5wQQFlpScc718OX2cQ%3D%3D&trk=flagship3_search_srp_jobs
Google,"Senior Software Engineer, Embedded Systems, Pixel","Chicago, IL (Hybrid)",417 school alumni work here,https://www.linkedin.com/jobs/view/3603197922/?eBP=CwEAAAGKOZCUiYqMH-2eP3I-C-3GNa6ECk_IHxbzenUBB9S8wrFArmJs5MwLG-ZDrSX5_u8t7jCOo_4M93V8Zqb3QC0t_Yng5eO60gX-5X3GUcChjg6GxWk5RGhiKKGxT9P2YhRY_DYvCKb-uQAMr6z6iwEROfKs8j4a4oSCmcRUV_gUCukAJNEPPHTmDWdUT0OG9XlY8qkut880xnMWO5o8VrUb8bhBPB5PhoJyMqNGit7gaT11S8y5RPfALzn10uA0edEJeBfK8eIjt4wmnsuxzaQxij1EWWCX3PRUYYd-InLbH8HkofUnpyf_fuD7YChDA8HQ0aDhEB0F5HcNGwl6j8YD7tYebYum3_11M5B30ezPKceKgwUMU2E8y80zY9_uvLQIvMPA&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=t27caIDHZ4LAZuRyL2jqJg%3D%3D&trk=flagship3_search_srp_jobs
NVIDIA,"Senior Software Engineer, AV Computer Vision","Seattle, WA",51 school alumni work here,https://www.linkedin.com/jobs/view/3666073760/?eBP=CwEAAAGKOZCUiSTsdSL9Z_AWQH1Y5eb9S27BHULGaRgB558B92fKQ5KUA_WwvkyTGhXEvKApj1GlkQE5P7HJOW3V0puLSnu_wvNHrLuhoX_lLMZsi-gqQufe5-1w0L4WwK7z0FZmh05bYYluojEtxjT4__hQPHPAbMGCtkGlFiZaWNpoFWTGddZlJaxij2V66lNDzhqRvPt3Kb5py3EJ2c1BLfz2A1IFts5EDLkydymITFl3rgHassmAnlokVGZ8lS37Q8o2j645RzoVK_JJGxTcHoeQ2NNgHNbQ6TJ8kbms-cJ7yz_R-rtgIFnaniapfhZf3ip322xAuwgKF6q7uR0ZkOziHFr9656pUV3cTRFO4P6vMkDAk0BifIUPT4OvSKgkCBMbXQ&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=zyamYDI%2Fh%2B70VoLNCJm5%2Bw%3D%3D&trk=flagship3_search_srp_jobs
Blue Shield of California,"Enterprise Architect, Consultant","California, United States (Hybrid)",4 school alumni work here,https://www.linkedin.com/jobs/view/3624830098/?eBP=CwEAAAGKOZCUiU46ItZJ_TvT80hiC_BAfOi9ExNxZKkT7CyklLFbJvpBnQ9V37jPOm6BzeVbWrdd-OOrww676P23zkdsKvAHJA3VQxawzzzjtij0seA19hiVdeEqKESeED-2aGn6cjKGGG7ULNIyOQTnyf3-irugNcThQ5aNMhBurbllyLzLj0Ti4sZ6NFdusxRSGTrDSIQxo8a3NXSnpYXMPhuPUSY6JzaRlBO92W_1XtSwTgVBKnZEgZmPzaYKQqxH_ywYKW4hnU3IFO-9yYhgm37EpArxlsEuwenE0oKqwUDaGhS2D8DTx-sJ0io16SA26iVlzAXpmG7ajkwnZb_aeXEHmMrIQm_F7FrgFr5s0hsvj6d6CTtYt7Ccu4NXHWhB2azsbg&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=tlGWi917N8VJJcdugi6zgQ%3D%3D&trk=flagship3_search_srp_jobs
FM Global,Principal Software Engineer,"Johnston, RI (On-site)",42 school alumni work here,https://www.linkedin.com/jobs/view/3685287307/?eBP=CwEAAAGKOZCUiVbqUeufOeEht7LEggBoxjyIhdnIzSWGiVz67x26Niob3oCaJBjF6p4gjZyg_UWd0uxnZOsAX1zoiiKRer7A7rUXA5K0Urn28NfXoKkHRfcqZinV302moXsFBRoxCApfNrIlIVWa8Q9PW8BanjgD58_ZX-ArePw2-OxFf36w19x0HpHH0rqWWrom0_bkqPm3OQrO4yHWWEM0fa4d6rZjTfgQsOawj01ujYw4JrphaZoEo-dbKNmqIBWZiFxLt0nI2iSFb_Y5cyC7KFwAZp65Nk6MI5BB7ixfK43t6isCpDT6a0TVjGzhbGCufP5BTiZINvxZ5LBkqpNmhYvTqSaYLI4b47Y5VWDS-dL7znTDF9AoteDGIE3O03ziTOi3ng&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=PwoUNdru%2FPGObLjWzEncYg%3D%3D&trk=flagship3_search_srp_jobs
Amazon,"Senior Security Engineer, Dedicated Security Team, Stores Security - Seattle","Santa Monica, CA (On-site)",484 school alumni work here,https://www.linkedin.com/jobs/view/3620243629/?eBP=CwEAAAGKOZCUif6OamKqyX-EpX_GdsMy1PzTam7vlJAn1D54_BW50RVUYiOD1z7t1RKHvRjHELyhKekG_FMSl4o0qZCbFZzlg2evyZcgMfSiCLEc0o9g2GJABDUr3TpcyU2DixUwhuB3ar_3qfHx5mHluB5AqS8wPEyF7gvYMvi17iOOm2UD4Mvf6u_pVSJRfla1S5-hqRSKVElfzY01kiQPik7BtQsfxYWehLjdM3R8Zx5MQoO-cVdO_amW6AttXvmfxpX7sDIUr5K1owY5jmRUgOn6LMK4hoLypcOf7YU-BJflSDfTdraRphFvO8M7P3tpGyZndRGLoIn8Izb1l8WFlOKGJ5Y18d3QyqgpnwQZcwsYETaRXsSnh0L9aMQHg-LowFKEuA&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=7K7N7PbXz6cAd%2BrrdQwGYg%3D%3D&trk=flagship3_search_srp_jobs
Aurora,Embedded Software Engineer in Test,"Pittsburgh, PA (On-site)",2 school alumni work here,https://www.linkedin.com/jobs/view/3644242854/?eBP=JOB_SEARCH_ORGANIC&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=k0LIPombjiNPxDuWb5qGVg%3D%3D&trk=flagship3_search_srp_jobs
Nordstrom,"Sr. Engineer, Marketplace Platform (Hybrid) - Seattle or Los Angeles","Seattle, WA (Hybrid)",29 school alumni work here,https://www.linkedin.com/jobs/view/3626021158/?eBP=CwEAAAGKOZCUiYCoHHIi7I0m9XORM8R-k9ZdMaPxatMIcdpd2DTLSNShdm968nHaPeb0nZ2Z9D98w-zYvpkPBSbFd-RaOJO4gGypJ0A64Dgw5ioqTC9vQdHBdAHd806ZIzvrUmlsxEDlSuT9Otyij1qWqiW0FrQ7YgTxxDnwRV0FMtB2Dmo7OBN7EoLlp-_LEmQWiaw2UA_haUmzxZPOrb8n-1JEPScheXWc4tB4sI8tRk0Lh7prwmQMPfmXLkjigtxfqI3gHMX0Q-NZkaW-RExHunsLWf2PuBNaDXMPVTnP6S4tPMCFVJAJFr8MhgH18G4xSrcH789ZXz8LyuMCzGmEPxnJRJsKVCjrYCASGU4SUNSyoWLl6F_6K8cu6DbUIp4-3jo&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=y249pemlASKe7vYIv20VOw%3D%3D&trk=flagship3_search_srp_jobs
NVIDIA,"Senior Software Engineer, AV Computer Vision","Santa Clara, CA",51 school alumni work here,https://www.linkedin.com/jobs/view/3666073759/?eBP=CwEAAAGKOZCUiZe-BP9tFXWa3NjsjnxS2edhYCqLtH1EDVyvrEaVdkRPOvqLZY9ao_9VcTanykbnDPhTz3uV1tJC6ewYoRDGyCzU_Y9_rCQLLHK-KSvUTowWbbx8n0IfKyOeIHrxgzQF1opsdFULv7OQvPIZ0vG1aKLqhlfl6Lq2iK1Licvp8V6mln2xLxvglnjoM9u2FZBA48MUlEf32D-SgP9FCqYn1k4XiEk1R8ZDqxYcZWbsDwpZRHXjPKYZLVMuQeBNZwqc2yEwUlKZroDnL8mNu5emyyG_fqWUuusw26SMjJa-3PoMB0FmDNevS71Sf2dOoyJwdBhP6SNYBTSS8pseA1MC89_C_NOhlUQZsjJvnDlSYdaRtMc4NMx_BjZsHoMhDc3i&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=VkKy%2BLKAf8PTr5CroAO7zw%3D%3D&trk=flagship3_search_srp_jobs
Woven by Toyota,Staff ML Operations Engineer,"Palo Alto, CA (Hybrid)",2 school alumni work here,https://www.linkedin.com/jobs/view/3644276340/?eBP=CwEAAAGKOZCUicY4-04ab-wATa6ZmwEQbxHC5kl34pQIozME3lxZnwwC2FZHjXnf9rbtIKxFwa7vx8uHKxeeU71Geu4EBz3TvQzO-j-SqiPJfx04nahm1iWER78d8ij3U23C970YdykR6-Jmrh7fRlegSwo1zBNgvtu_y1XgvtC73JHWgxEqOh_lyFXmMWC2SEWYTHbyN7H6BregmuXRL3M49OCOt6rNna_9EGqABlKfPIN49tMjYLJMmxAfi1SD4D41BdZ-9CHM6Ok_KRXAb6t0DQmVKTX2kv-Zi6lxCWFvSiMH9opgxJpDV2AXLwMSWKsH2w2SDxDbUR254lxIacnUQWUpR7OCeLhwRDgOmRDmpAAUtVe55VX--lnylJ4xglsANd9hmw&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=c2tajoL%2FxviGAWkuG9vuCA%3D%3D&trk=flagship3_search_srp_jobs
Tesla,"Sr. Software Engineer, Design Technology","Palo Alto, CA",46 school alumni work here,https://www.linkedin.com/jobs/view/3643195667/?eBP=CwEAAAGKOZCUibcNIpBZGG9pACGPU_UiBM6uFY5WEFQRygjdVg3futC6iw_YR99OwFVSGCiPdNC84xCqEmCBJmm__vvMSycT6pvAKYcXR_Ojhj7X-e1qrFjLfwG46zSOTqFaw47RdBrTP6GB0oGql7lMYdh5jRZ1lD0iZKClAHsUG9Xsb0o_GguVTh_1EoRQJ0lWkS-vp2UgKdvEHByFhysoRRTlqrVbEPx3JLiH3U9yTY78cfMdngWh9dENlNOe7_y7Sx08b-IQ9l_fKu7dWCOGwmqhWQ2Tijp6B3-HRpyO1fLJJooe3P2De3c7CuaoVMgG2SVhSlz5XGpuCRgM9hAyfpgFGUU0RK66pjeXjEWGMSlkHc15OSXmPkivuWIK9QY1_j_vlLIl&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=ggbOgnJzPPXKx%2Be7iwq%2BiQ%3D%3D&trk=flagship3_search_srp_jobs
NVIDIA,Senior Developer Technology Engineer - AI,"Austin, TX",51 school alumni work here,https://www.linkedin.com/jobs/view/3602643143/?eBP=CwEAAAGKOZCUiZLruKiorU6BPbwqsT9KeQk5DOMUjuavR7oxFyXP6-TEjgLsR5DCuDViQGy4ekgaawKkhG7cdKbV9DaYqvhYyikGxYyq55J34LIvdmhEgSxOWsqcimPr7f5EiSRUTLe5FSFzag1hLXwxo-x6V4O0A_0uw7xu7OLEJ1eM0uGgq5FeVFlW_mcHABihv-nRntfwqHz4qF7u4cz9VK86dTxKzhSiVa_5_Woed1nNBLpPpM1Udzj1MlQ37hYWN3PsSQF8s6vjA4E0GOUPyOe5kX0TnWcP6aB4IGZm98ausJ-8sSBHmbFyeHSI2OxUAYnn28Is3Pexi_juEgfY7WyF4v1N54Hccd_XW7TUWFwKENKPZasY89oBcwfTLMmoAuQmgRRq&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=ILGcrrBdiA7nKxWHZkSSrw%3D%3D&trk=flagship3_search_srp_jobs
Porsche Digital US,Senior Full Stack Software Engineer,"Palo Alto, CA (Hybrid)",,https://www.linkedin.com/jobs/view/3639958144/?eBP=JOB_SEARCH_ORGANIC&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=lwBahbiKrMcJb6eK05tJGA%3D%3D&trk=flagship3_search_srp_jobs
CareFirst BlueCross BlueShield,Senior Systems Engineer (Remote),"Washington, DC",6 school alumni work here,https://www.linkedin.com/jobs/view/3663906455/?eBP=CwEAAAGKOZCUiYsJq3VuIlrJh2HS3ueMTIdETIQDrt5x_x25W6U9WclZzdX0EaFdLTAKGVpXAP2BsDe_FBpUrk1L2mz5REzXBx_r2Skk8wbAlMysYc55XH9aX4n6hxsvUclJ2Lru2DdVoL7MtNERmdNNFU6FDeHcaPr9BzUK085tp5YoPUVidsAEPKC7xT899bvi6krw1CpAPgfXwB-Mjb6QEHZaUBlosm2z5MKsMB1L5PE6XPEukQmOCanE5UpPm_05xp-QT3zAPqi6THflNSITkPmOxnYkMakzo0-Bn3Uve0rlH_ZuP5xSy1dc3xvMd-agGzkzfQVvnMo1cnELhs-UUYxfX3ZsF9LSEXvdLXExbxPEf_u5q1Jb3TQKaAVKjXIw8-0eTQ&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=10uE%2BzDrTCfzhlPq3O4iow%3D%3D&trk=flagship3_search_srp_jobs
Accenture Federal Services,Salesforce Developer,"Herndon, VA (On-site)",8 school alumni work here,https://www.linkedin.com/jobs/view/3624919480/?eBP=CwEAAAGKOZCUiStX6sAoJ2quNZ9LrS84j7jvXzetpKRtV_ctpEVzGgX_-CUBgzgwQXQZbTLeJjgJTL7xAF7VCWQ1WRMEKLrInemfbV1uVXEUujQo4ocfdE4qeAnKcs2f93lNbcxA5tiW5s5sgZqX-eK1J87iMn4jtWsnRm-859psZwu-DfL1Rkzn_tjDK5H5OyXIMzebUgO79Ln67caClMsU4uQ1JQgyVZMBbNUUK2Pr2Td5tjdjIjgl13d8q9basojVEXCdTIHWkG8DrI5ZmVY4RcF446uRQdL9A1tm7NIsS5GAkmDW0E1hLT-AbfdCIgX9bcsGhkRmFM9nFNenn9gC6F-XTTFIQrrv9DSGpY8sILwGFbyhrj3zgNdpeMhKz27BjC3S9gU-&refId=pecqLeukjUO4qDKnADaW2g%3D%3D&trackingId=bDIxg34DqXqzOi3YItTDpQ%3D%3D&trk=flagship3_search_srp_jobs
Acrisure,Integration Specialist,"Dallas, TX (On-site)",6 school alumni work here,https://www.linkedin.com/jobs/view/3661040886/?eBP=CwEAAAGKOY_ozrXJIx_oxXA1xnHvvviKcR53j0OfkTRPY5sPamC-AZjvf574aj_VAHl6di-N0Qz6oOKS-DH6yxuaapMXkHqyNilLn6EWBRxEw8yaC-KeJsp_RMEeyUkDN_1NjrtZ6D2nh1tlJ2O_CuHYFwYsVFf_19fp5STau9OJ1a6K7PTDdosfzfyHpE6uKzFb_MMudmzvSh9lmBGJ-UYdv9iVz4km9_hSCZ5gMwCDZ9QWDrS4XCAx4Kjod_iXWt1K2kTYo7oZcUe3PjwUEyh6glo8WXbCADN2fNAsdmKAu0sUm5oI8D39pY_nrdY6eMxYwSblxCd6DnMDlKgCnfK55YTvfSDAIO_d4W_ATqxj-dcnST68gkTL4BFRGxh8UsxeC2UjvbKS&refId=%2FI4TBoZumObhB6f9BWB5rg%3D%3D&trackingId=blKloylsIrcgeLEF%2FtEXpg%3D%3D&trk=flagship3_search_srp_jobs
Siemens,MES Team Lead - Hybrid,"Grand Prairie, TX (Hybrid)",42 school alumni work here,https://www.linkedin.com/jobs/view/3683115091/?eBP=CwEAAAGKOY_ozn0M5GJwwi2xDJcG15YZKOk-k-XVqtw13P6eS6lt_lNtyckiAYPOXO2oYsaEhj9UEEptzJs91D-QcA0EA46gSwtWk-unZyIud33izY3gBLKkG_v-vDdOOdb3EPQPBRiyCWyNen_2cAjiNt4WnWItJeKh2mZKqJzbcgl4H5OIHUrQlsudsVrOarCIxmp0evoKX0IUXWhK4VXl-tPa9FL3PaCBLpaAPVjSKSwkp6ZXmPyQNMR5Qgin3K65mEHs4xHY4o6kU0dlTMSkeUMFUHlsf3R1PBts4eNI0xfqcUiQROVonXBKIcocuesxvfCI3AHJoruIa975sFkroKS-dtZzD7-QsXljs1ecsdPp-3-Nmz5D16iy_KY_O5ejDQwpUlll&refId=%2FI4TBoZumObhB6f9BWB5rg%3D%3D&trackingId=4RbZEHjnDXcajYTFypGqxA%3D%3D&trk=flagship3_search_srp_jobs
Amazon,"Sr Operations PM, Kuiper Operations Program Management","Redmond, WA",484 school alumni work here,https://www.linkedin.com/jobs/view/3661523173/?eBP=CwEAAAGKOY_ozq01h-s5cPUzu7keaccfnwsMx6ICiLNO4nSH3_fGSn_FH5lDlHeTaQ5JZ_xJjr9q3U4KC1mwrPvi4hZLJDCg0D95sBiHtj3-rGra22MM_okl9awl2tdGjSSVhqjHNVBUMv3TqFvus9N6HxTt8wrJQuLWpeG2uJRjftsIPEqkLtokqso963dIB_aaerRodNp9olbK16v8LUobXZYZJoE0Rvn586Y7bh2wLXcFMauQfahc8tq2NGZemQOnMlyxaYaxQYaoNNDYHS5ODmk96DcOq9XVnSHPh6MbVpmjD6ToMxglYdI458uUwnBsD2aW-Z2sk3SSvHTAH6mO6-IcbUt8JFtLfp_Y1eB0IAeHOtw_NXPdFv_amxTNlL04SgzUkCavn-U&refId=%2FI4TBoZumObhB6f9BWB5rg%3D%3D&trackingId=i%2FVLqo8XboIFbC7DYYbTuw%3D%3D&trk=flagship3_search_srp_jobs
Acrisure,Integration Specialist,"Tampa, FL (On-site)",6 school alumni work here,https://www.linkedin.com/jobs/view/3661047079/?eBP=CwEAAAGKOY_ozpYV1HEd6NLNcgAAXDmErDtjFle6-pPVS3yvXE51zHouuq68MEWDH_bn9X4btUoeAAidPro9yzSvONh4I53lhQQrbcomvuBaXpxcklmeABSge_9sJs9KADbp7P42G5hxeCmIcM59aLnK8JwlZRfK4TaiPWXhzbi6UyD1kIre3h8z3mpWcGG_2mH7gZFn5Hr6Gi-SdU0i__gdeNKFkCKLmGOrRRib31eo2Q6T2KbtsRMRAM6_RUr_wLeaKBNw_qz-BUhG0QaqbGF7TKYyIYfyCtqjhi4vBBBkOEx_086mhgcPjVJ9jUh5hQUgFCbyaQMt_OQ2mShc-rslj3m4AGcUlkmFszHfiZDg7dp1-c032RZz5QnC5RsnCKpq8-1B1gjNJMk&refId=%2FI4TBoZumObhB6f9BWB5rg%3D%3D&trackingId=ez3fNQvuGf05DrEEyk%2Fggg%3D%3D&trk=flagship3_search_srp_jobs
NVIDIA,Principal Technical Product Manager – CUDA,"Santa Clara, CA",51 school alumni work here,https://www.linkedin.com/jobs/view/3666077361/?eBP=CwEAAAGKOY_oztUDr-CgT4pDWT2HWL0avbRA7NDviNKfM7swAmZMaLE_vOPomaKSzhoH7qlbzQZWeliPtUpum-MBlJs8C3VvRx-OyLAFGB4ba-2e2QYHUzevWdPq4QCmxX2bRQd5nsgKFy_SRmqjuE1E_9qo4X7GlkjY7z7h00d0SDCp8JD6YZsGMzS-TcGilwARq5L4mepRjTiuHac3WjaZlzVwoqVnE9nWVxQO0i2EALg-pHS1iqv6OmD1smsDnqK4Pe-lUfmtu23LUopciF4kcGISlOejllh9Zl-V5bJgsR53cIHXCtaSmQ1g0MoLh9YAewWQa4SyEGo3XjWf9dWfQvL4s7TzGHzytaeqQBfNUbk-WNFQRpZiZ20CNFD0YCrXi_H0yZ3QiL8&refId=%2FI4TBoZumObhB6f9BWB5rg%3D%3D&trackingId=8qBps6OSm0WIGb7ZhG%2FVAQ%3D%3D&trk=flagship3_search_srp_jobs
Frontier Technology,Network Engineer,"San Diego, CA (On-site)",1 school alum works here,https://www.linkedin.com/jobs/view/3601518785/?eBP=CwEAAAGKOY_oztAwmntcYAdojnLBIzYFzTOYgEzsAXJ7d1IgzokjgrElO4ejcOK161Yu7xoNdYnt3QBOQ1c5KRvAVvOFttWN2G4tpSz-NNyBYSymSaDk-82hZ3v2w6ls4W3sLKNeg2x1Pk2DXUFxP37Rqb3XFvnU6FJQ5TyHjUXR6ITWOa6MFtVifG3WL1iFZhCYuS7fil8ua0MLYq8xO5QPfaYAJkp8dORaviBK9zyrq03uUugKKqjF4__kgc8BK-JsAUZ0Mjw-dM_BuZj4oRIPjbH7ewZmnSP76tbS12N54naeoOVDImSD3DsC7Y8GsJJrYtTf48eFH6Sulcr_-eNqeezOcyCVZVM-rZrr4zdaxftT_4LosO738oVJhMXrRri8Fr-LFOUt&refId=%2FI4TBoZumObhB6f9BWB5rg%3D%3D&trackingId=VQd4D9anZBb6LUCF3ezu9Q%3D%3D&trk=flagship3_search_srp_jobs
Waabi,Autonomy Engineer,"San Francisco County, CA (Hybrid)",,https://www.linkedin.com/jobs/view/3643324543/?eBP=CwEAAAGKOY_ozkQMmtvhH2N5JRqLpqUhk25uEAfwas6Xq7HUy6z24j1qF8Lq-4ewaU2rc5JDFyCwIj8uE0cjPMINpSy52TKZnVIN57yqIAYBkm7d_uGTR4KGzLq31Bah9cQO4XMAGVjXUsUzJUOTv9aZxvcTl5W8b24pgK3eAifTsxBEChFkJXYulFyIB65csyfnrLhdmjUmfa6yIir4fHUjFDBNVXDMtzJEHJ-TdgK3jh-CCG0cWnPXeMijxYikNzlv57o0jpL-oqQ7MuPTQp0glFJ1ncf3j05AG0hDMQ8QYcTTtqj_wmP5fCUWuwMPsjx_WcwCde6xGLge16Sig_x3S8VRIBD85IyGaMR0lbMaE0XcKs2QyZ7U-G_OmepM6WeIdzLq407Q&refId=%2FI4TBoZumObhB6f9BWB5rg%3D%3D&trackingId=XGl3uGNm20kAGvZnvX%2FWWA%3D%3D&trk=flagship3_search_srp_jobs
NexHealth,Engineering Manager,"San Francisco, CA",1 school alum works here,https://www.linkedin.com/jobs/view/3629276602/?eBP=CwEAAAGKOY_ozvU1LvPBIgiZoaLUZEJBLA1U3ay7fbbU96COZei6mtkWFwY3l1cCGPEvr2Xs66zxdD5ZKXJ9mL2JEhiStZaf7hRKooHgpN6EG-RFEdEbjyHV8l5uFmSQbNgiy9C8vyhTSw1DaTgDd7IR_VAF8egmt13YJrujXZ9KeIB7w-tP1Iz1K1pkRy4KXtu6k_GnBJshudObxbA6hLrpdGLEbOLs-60O2Y0rNNNl9XPq5io32AwuC94WlfklN3aX9456BrkeX6G7mmu24zlg7u5ZkDXCoJLMV3VXhbTGQjNINZ5FZxfJ182d6HaYwyqK8iVxeTyZkrohl4FIM6qcZS5FxXa6gfSt_Jey2QKJUK9hKM24tVSEI5Nijo8jhgcitLR05d61qtE&refId=%2FI4TBoZumObhB6f9BWB5rg%3D%3D&trackingId=IDTZxDzdDqIBPklR9gjQyA%3D%3D&trk=flagship3_search_srp_jobs
Guardant Health,"Senior Manager, Bioinformatics","Palo Alto, CA (Remote)",2 school alumni work here,https://www.linkedin.com/jobs/view/3623479062/?eBP=CwEAAAGKOY_ozqlRS5qHX3K7LSaHv4Yc5e_q0LWQm3KMB571saOgV3l6LQyjGgZtCfHwwvbSM2cEn-KJuy8ay6hNU3XHGHkn5KCPeA_FBMPdThy_lvoFi-q2qeagvhH9f6HEWc9efL35QFuJbFPM7LbM5t6qq9nYW0opLj5Wu4-sVeFicKoJNGWa2f7eC3E0rzBJpzALPWB_f0l-ZCketpfzw4Rh9IU9e8gv4VHgXCv5F-3jt2AYFZ7upvu00Iv8Pi2P6Z3wL8QjYEZ7GSlB-Jj62IQkd21CMk-JRnqSp-w7kzlFifRH1lnDeJ_nFDBUZ8iXPxgdItkz6hHeDoB0uZHqXa7QLxN6yG027OCSSYszfAbTl5ezH5kD-cNDXkBpzIqkvfVTpbQIvV0&refId=%2FI4TBoZumObhB6f9BWB5rg%3D%3D&trackingId=dyqJW7U4tUAkuOi5Zmtvxg%3D%3D&trk=flagship3_search_srp_jobs
ezCater,"Senior Mobile Engineer, iOS (Remote)","Boston, MA (Remote)",15 school alumni work here,https://www.linkedin.com/jobs/view/3643140589/?eBP=CwEAAAGKOZDNL66e_OpDr2RGt1LGligS1CS-7BI5e1HmdqM9bLGddbtGNjjlVE0549-JjJj38UReYyTI9QbUyKYdzp81yRHr3uaOQTrA8j2VSSzmeIJ3tyXx9TjVY_9w_3uR5NPXRf3t9T2P8rngaGvIpxswdEGC4NPAWSOVDlSfi5FLm7EB1MN6mt_muONewwMP5-slL2yvond74vOGyrC4HksorB2LDwlV9wCHB7IOFzCjY4B80Z7jSjA5I227DjvWh9kzcJBvdDgBlbCJ8hjWokJP3gNCuKUZC-aVv4eqWHLDKGGIB2khPCZtMiIhx_AD7qoqAxdQy_fsjTnNMY3KtVMzt2ykHsY1Yme_dEdKE6sDzyafdoAgqN710zOm6ZoSwFzdpdHS&refId=SKzTTkpc3uuvBNoX4OcXmw%3D%3D&trackingId=YsEJRCPf5x2NC7Brhl4ong%3D%3D&trk=flagship3_search_srp_jobs
Ava Labs,Senior Virtual Machine SDK Engineer,"New York, NY (Remote)",2 school alumni work here,https://www.linkedin.com/jobs/view/3544110319/?eBP=CwEAAAGKOZDNL9XX7Y1fBexMf2cXZ0Jp1pLRONNTDBXGZ6DavHyeQ4S2B0A7BEz0gh8P0S3rHr5BrPxGZcDf-M0DZFxmu4G7Z94so8VwoBfJBvd3l78KzWX2QJOz2J-nzdra-oY0zXvez274PN3wioHsMb1AnTJyAYjJD4Gn9XW8FNkVuUwcC5U2-zsr0kow_iXVMybqJk1tSLphgl4xSBGFHxd5snMnz3N6waH7TGzCMOrP_5Q87IIFU7MG5q9aCh-vMA_OKdU1kFYv2rna8GjfdnIwSd9Kb5bnl8M3uLWypfTm3A1BA0iCzOa9rIuJ1PJ4UpD7M-WQOhTJvbTVawq_M53LRUKcLk8SoWZIqFKcGtKOUjDyyds38O_246hfghZ75DEhnSfw&refId=SKzTTkpc3uuvBNoX4OcXmw%3D%3D&trackingId=Htov1yzIfagoXztIya8MIQ%3D%3D&trk=flagship3_search_srp_jobs
NVIDIA,"Cloud Services Solutions Architect, AI and ML Stack","California, United States (Remote)",51 school alumni work here,https://www.linkedin.com/jobs/view/3548716501/?eBP=CwEAAAGKOZDNL0KiHuGUTssBNxBawKn-RhnM1yrI4LLeLhitAutYZCPwDhWexPkIQvg7U7GKJ3JiMYss7n5LiGDopdwC1W10hF6bpBhXIpYosG1LZx1hzX5vMAMwn5ohdGADQk0X4tp-IMrANRrwEOujqMJzmP2n7LX3sQ2GCtcwF_HY_FAhs-bXtRMSvYCzMWemYsWotDqP5MgOgVWMxW0kyqS_b5obA2rKYWVHC9gxyT6Lseowue7FhTDfW86TP3A2DYiLms-lT4G-KcT1CmirmO0L2u9SHM5vzqdRFHFNN9ZFoqC7t2lANWPDLHCsKJ46SJD0WVHxosYX09ldGj7VtZW2l5rfu_PEUVt6sSe_5i1blOFB4_L06erXEbbpLpF7t6MuCKng&refId=SKzTTkpc3uuvBNoX4OcXmw%3D%3D&trackingId=6bWsK53VW4nMcFBvyVD5RA%3D%3D&trk=flagship3_search_srp_jobs
